"Name","Population","Home Value Growth (YoY)","Home Value","Price Cut %","Days on Market"
"Washoe, NV","498,022","2.9%","$567,641","30.7%","45"
"Chelan, WA","79,997","1.4%","$522,340","15.6%","46"
"Linn, OR","131,496","2.5%","$409,891","30.0%","47"
"Columbia, WA","3,996","3.9%","$271,525","12.5%","24"
"Columbia, OR","53,178","2.7%","$458,984","34.9%","54"
"Crook, OR","25,651","1.2%","$466,977","30.4%","59"
"Deschutes, OR","208,513","0.1%","$683,628","28.0%","53"
"Del Norte, CA","27,293","1.2%","$366,270","13.3%","74"
"Lassen, CA","31,177","0.3%","$231,275","15.7%","54"
"Shasta, CA","180,366","0.8%","$378,666","24.3%","45"
"Lewis and Clark, MT","75,011","3.5%","$458,315","24.9%","44"
"Lemhi, ID","8,166","2.3%","$372,343","22.5%","84"
"Custer, ID","4,411","5.2%","$333,519","10.5%","81"
"Spokane, WA","551,455","0.7%","$427,323","28.4%","33"
"Idaho, ID","17,120","2.5%","$350,017","16.1%","55"
"Nez Perce, ID","42,477","3.6%","$381,397","22.0%","42"
"Garfield, WA","2,326","2.8%","$228,631","0.0%","49"
"Umatilla, OR","80,053","3.8%","$309,513","29.6%","55"
"Payette, ID","26,190","2.8%","$440,303","32.5%","44"
"Harney, OR","7,515","2.4%","$210,178","8.5%","104"
"Whatcom, WA","231,919","3.6%","$622,266","17.5%","36"
"Kitsap, WA","277,658","2.1%","$580,801","22.7%","30"
"Sherman, OR","1,908","5.8%","$274,734","0.0%","70"
"Hood River, OR","23,958","0.6%","$692,487","40.0%","28"
"Cowlitz, WA","112,864","0.2%","$419,453","33.1%","48"
"Clark, ID","776","8.1%","$240,717","0.0%","61"
"Clark, WA","521,150","0.6%","$559,360","32.8%","43"
"Josephine, OR","87,821","0.0%","$395,100","32.8%","60"
"Missoula, MT","121,849","1.8%","$573,429","25.3%","38"
"Ravalli, MT","45,807","1.9%","$593,380","23.7%","47"
"Clearwater, ID","8,921","0.2%","$292,760","15.3%","43"
"Bingham, ID","48,993","4.0%","$373,849","29.1%","42"
"Blaine, ID","24,579","1.9%","$968,313","5.6%","71"
"Camas, ID","1,155","6.2%","$370,206","23.5%","65"
"Tooele, UT","82,051","0.7%","$481,370","45.1%","50"
"Bonner, ID","49,456","1.7%","$643,733","20.1%","44"
"King, WA","2,271,380","2.6%","$905,396","22.9%","29"
"Thurston, WA","299,003","1.7%","$536,377","25.0%","31"
"Tillamook, OR","27,471","0.0%","$515,997","29.6%","52"
"Clatsop, OR","41,343","-0.2%","$522,374","24.7%","51"
"Pondera, MT","6,012","5.1%","$235,737","22.8%","61"
"Flathead, MT","113,679","1.0%","$644,611","22.9%","53"
"Mineral, MT","4,796","1.7%","$381,965","27.2%","45"
"Valley, ID","12,136","2.2%","$673,237","14.9%","51"
"Wallowa, OR","7,532","4.2%","$436,327","20.7%","78"
"Gilliam, OR","2,002","13.2%","$236,348","0.0%","187"
"Jefferson, MT","12,501","3.1%","$519,445","18.3%","65"
"Jefferson, ID","32,234","5.3%","$467,411","27.8%","45"
"Jefferson, WA","33,313","2.4%","$604,236","24.8%","45"
"Jefferson, OR","24,973","2.4%","$425,148","26.2%","61"
"Pierce, WA","928,696","1.9%","$579,403","26.8%","34"
"Marion, OR","346,741","0.7%","$446,494","27.8%","51"
"Trinity, CA","15,886","-5.6%","$257,963","16.0%","64"
"Powell, MT","7,029","5.3%","$302,118","8.3%","126"
"Bonneville, ID","131,366","2.5%","$403,362","29.3%","36"
"Bannock, ID","90,400","2.4%","$354,760","24.1%","40"
"Butte, ID","2,654","-","-","0.0%","43"
"Whitman, WA","47,042","0.5%","$379,745","30.7%","48"
"Union, OR","26,192","4.7%","$321,084","24.4%","57"
"Adams, ID","4,599","2.5%","$499,192","24.4%","56"
"Adams, WA","20,690","3.8%","$314,016","20.5%","38"
"Walla Walla, WA","62,102","2.5%","$412,635","22.1%","42"
"Benton, OR","97,713","1.2%","$560,757","26.2%","34"
"Benton, WA","215,219","1.1%","$453,683","26.8%","46"
"Grant, OR","7,238","4.6%","$283,443","17.1%","87"
"Grant, WA","102,678","1.3%","$362,962","22.4%","58"
"Malheur, OR","31,701","2.5%","$305,892","28.8%","65"
"Skagit, WA","131,417","3.0%","$581,067","26.1%","37"
"Snohomish, WA","844,761","4.2%","$790,701","22.7%","26"
"Island, WA","86,267","2.9%","$645,067","22.4%","36"
"Clallam, WA","77,616","3.3%","$500,351","26.5%","37"
"Klickitat, WA","23,082","0.0%","$474,129","30.0%","54"
"Clackamas, OR","423,173","1.1%","$631,342","40.0%","44"
"Klamath, OR","70,003","3.5%","$291,715","27.6%","53"
"Siskiyou, CA","43,834","-0.8%","$283,834","20.1%","52"
"Beaverhead, MT","9,590","5.1%","$381,849","11.5%","62"
"Gooding, ID","15,740","1.5%","$348,658","21.6%","50"
"Pend Oreille, WA","13,811","3.3%","$365,533","11.8%","44"
"Washington, OR","598,865","0.1%","$594,214","38.7%","40"
"Washington, ID","10,866","1.4%","$357,019","33.8%","51"
"Kittitas, WA","44,736","0.6%","$493,973","24.2%","46"
"Wasco, OR","26,603","1.7%","$404,450","23.8%","64"
"Lewis, ID","3,649","3.3%","$281,415","34.7%","60"
"Lewis, WA","86,154","2.4%","$432,999","28.1%","44"
"Yamhill, OR","108,644","1.4%","$516,378","34.3%","52"
"Lincoln, ID","5,276","7.0%","$321,538","0.0%","42"
"Lincoln, WA","11,271","4.2%","$319,010","26.6%","39"
"Lincoln, MT","20,656","3.6%","$422,178","20.8%","68"
"Lincoln, OR","50,632","-0.6%","$477,929","30.3%","68"
"Douglas, WA","43,733","2.6%","$494,289","28.7%","31"
"Douglas, OR","112,435","2.4%","$342,550","41.1%","58"
"Jackson, OR","220,768","0.8%","$434,947","27.6%","50"
"Coos, OR","64,832","0.4%","$350,013","31.9%","56"
"Curry, OR","23,463","-0.2%","$458,088","33.6%","60"
"Price, WI","14,077","6.2%","$208,797","11.4%","45"
"Anoka, MN","372,441","1.9%","$369,876","16.4%","31"
"Carver, MN","111,057","1.3%","$483,403","18.0%","38"
"Morrison, MN","34,131","5.2%","$305,078","19.0%","43"
"Clayton, IA","17,069","8.2%","$256,304","24.6%","63"
"Marion, IA","33,551","6.0%","$265,236","21.8%","43"
"Cerro Gordo, IA","42,785","4.2%","$194,985","18.7%","58"
"Waseca, MN","18,958","4.9%","$250,744","27.5%","35"
"Blue Earth, MN","70,006","3.9%","$298,450","15.6%","43"
"Webster, IA","36,848","2.2%","$133,777","20.7%","58"
"Humboldt, IA","9,573","2.9%","$162,188","15.3%","69"
"Greene, IA","8,722","5.3%","$164,903","7.5%","67"
"Martin, MN","19,864","4.3%","$209,253","10.8%","40"
"Pocahontas, IA","7,040","1.7%","$107,271","11.4%","94"
"Palo Alto, IA","8,902","7.1%","$165,413","7.4%","54"
"Red Lake, MN","3,922","4.4%","$214,648","36.3%","28"
"Norman, MN","6,411","6.4%","$166,822","17.3%","30"
"Eddy, ND","2,319","5.5%","$113,722","0.0%","61"
"Pope, MN","11,363","5.1%","$314,628","26.2%","45"
"Otter Tail, MN","60,281","5.0%","$324,468","24.0%","46"
"Becker, MN","35,260","3.3%","$346,128","28.9%","41"
"Lac qui Parle, MN","6,694","4.6%","$206,528","25.0%","39"
"Traverse, MN","3,279","6.9%","$146,442","0.0%","22"
"Spink, SD","6,283","12.0%","$158,036","0.0%","50"
"Stutsman, ND","21,525","4.9%","$221,214","14.5%","62"
"Harrison, IA","14,645","5.1%","$212,769","32.2%","42"
"Sarpy, NE","199,886","1.5%","$352,743","10.3%","52"
"Moody, SD","6,371","4.6%","$298,120","0.0%","71"
"Butler, IA","14,301","4.2%","$178,152","17.9%","48"
"Butler, NE","8,413","8.5%","$227,315","34.7%","66"
"Nance, NE","3,342","5.8%","$184,282","0.0%","51"
"Antelope, NE","6,302","2.1%","$202,633","0.0%","47"
"Charles Mix, SD","9,281","4.9%","$263,658","22.2%","59"
"Boyd, NE","1,704","-1.0%","$130,808","0.0%","17"
"Loup, NE","564","7.5%","$318,860","0.0%","158"
"Hamilton, IA","14,893","8.1%","$162,836","16.4%","37"
"Hamilton, NE","9,438","5.5%","$279,260","27.9%","45"
"Wells, ND","3,942","-7.8%","$140,561","20.0%","96"
"McHenry, ND","5,264","-0.7%","$143,289","0.0%","41"
"Ziebach, SD","2,410","-","-","0.0%","25"
"Keya Paha, NE","939","14.3%","$267,962","0.0%","37"
"Bennett, SD","3,354","0.9%","$213,758","0.0%","22"
"Cheyenne, NE","9,478","5.6%","$159,363","23.8%","72"
"Slope, ND","795","-","-","0.0%","303"
"Bowman, ND","2,935","8.3%","$174,929","22.2%","31"
"Albany, WY","37,713","7.7%","$375,676","9.6%","40"
"Liberty, MT","1,968","11.4%","$206,982","0.0%","92"
"Stillwater, MT","9,052","5.0%","$441,435","18.4%","39"
"Wheatland, MT","2,049","1.6%","$156,687","44.4%","123"
"Gallatin, MT","126,409","-0.3%","$714,069","19.1%","47"
"Broadwater, MT","7,310","2.7%","$515,997","21.0%","51"
"Sweetwater, WY","41,786","7.2%","$294,094","32.9%","39"
"Caribou, ID","7,118","6.1%","$317,549","25.5%","60"
"Morgan, UT","12,585","2.6%","$729,603","35.0%","44"
"Gogebic, MI","14,348","5.5%","$120,147","10.8%","61"
"Taylor, WI","19,972","-1.9%","$226,003","21.3%","60"
"Pepin, WI","7,372","7.4%","$270,397","36.3%","44"
"Pine, MN","29,411","2.0%","$251,888","26.0%","33"
"Stearns, MN","160,977","4.3%","$315,259","18.8%","36"
"Winona, MN","49,705","5.9%","$275,506","24.0%","31"
"Fayette, IA","19,393","4.5%","$145,170","28.2%","46"
"Tama, IA","16,982","5.1%","$164,254","10.5%","53"
"Poweshiek, IA","18,582","5.1%","$203,808","13.6%","51"
"Worth, IA","7,380","6.4%","$180,560","14.2%","40"
"Adair, IA","7,471","3.7%","$175,169","17.3%","57"
"Guthrie, IA","10,646","4.4%","$244,541","22.7%","42"
"Shelby, IA","11,757","7.6%","$203,010","26.0%","41"
"Foster, ND","3,372","6.7%","$181,119","0.0%","42"
"Towner, ND","2,113","-3.0%","$124,546","0.0%","74"
"Roberts, SD","10,219","0.7%","$231,701","20.0%","55"
"LaMoure, ND","4,107","-1.8%","$142,189","0.0%","112"
"Osceola, IA","6,114","3.5%","$155,220","30.7%","26"
"Thurston, NE","6,666","2.8%","$161,270","0.0%","187"
"McCook, SD","5,732","7.1%","$274,101","27.5%","38"
"Merrick, NE","7,696","7.5%","$222,730","16.6%","54"
"Rolette, ND","12,065","-","-","23.5%","96"
"Kidder, ND","2,374","2.5%","$215,631","0.0%","79"
"Sully, SD","1,481","-2.0%","$285,688","0.0%","36"
"Stanley, SD","3,012","-3.4%","$308,780","0.0%","104"
"Hooker, NE","613","0.3%","$117,201","0.0%","216"
"Sedgwick, CO","2,346","7.7%","$165,828","22.2%","53"
"Roosevelt, MT","10,665","-3.2%","$125,484","0.0%","114"
"Crook, WY","7,339","10.3%","$410,407","23.0%","99"
"Converse, WY","13,759","6.9%","$310,573","24.2%","71"
"Weld, CO","359,442","0.4%","$512,379","30.2%","37"
"Routt, CO","24,990","3.6%","$1,112,039","17.1%","59"
"Toole, MT","5,028","10.7%","$181,485","36.3%","46"
"Yellowstone, MT","170,843","1.7%","$396,944","25.6%","38"
"Meagher, MT","1,979","8.4%","$309,090","0.0%","59"
"Rich, UT","2,588","2.5%","$594,367","10.6%","52"
"Jefferson, IA","15,676","1.9%","$172,036","12.2%","47"
"Whiteside, IL","55,192","3.6%","$134,230","25.0%","50"
"Vernon, WI","30,915","-3.9%","$246,428","4.8%","50"
"Monroe, IA","7,546","5.0%","$162,510","11.1%","48"
"Monroe, WI","46,169","4.7%","$251,772","23.5%","37"
"Warren, IA","53,484","2.3%","$316,070","25.5%","52"
"Warren, IL","16,576","0.8%","$107,128","13.1%","60"
"Henderson, IL","6,284","-0.4%","$121,913","17.3%","43"
"Wabasha, MN","21,519","4.0%","$302,382","21.6%","56"
"Hennepin, MN","1,258,713","1.3%","$388,342","18.3%","34"
"Scott, IA","174,270","2.8%","$236,306","14.1%","44"
"Scott, MN","155,814","2.0%","$446,481","16.9%","33"
"Delaware, IA","17,549","3.5%","$232,946","28.1%","54"
"Houston, MN","18,768","7.4%","$309,660","25.5%","47"
"Linn, IA","228,972","2.9%","$229,889","20.8%","43"
"Keokuk, IA","9,964","-0.0%","$144,939","10.5%","37"
"Mower, MN","40,069","4.5%","$194,712","25.0%","42"
"Freeborn, MN","30,752","1.1%","$182,017","33.8%","40"
"Winnebago, IA","10,648","5.4%","$150,835","15.3%","56"
"Hancock, IA","10,718","7.0%","$178,160","17.3%","62"
"Faribault, MN","13,909","7.3%","$147,952","20.5%","65"
"Steele, MN","37,413","4.4%","$294,260","14.8%","40"
"Steele, ND","1,731","-","-","0.0%","29"
"Cavalier, ND","3,663","8.3%","$153,879","0.0%","87"
"Griggs, ND","2,340","19.7%","$135,846","0.0%","51"
"Redwood, MN","15,383","3.4%","$177,849","27.5%","44"
"Big Stone, MN","5,152","4.7%","$187,413","0.0%","32"
"Hand, SD","3,045","-0.6%","$243,134","0.0%","68"
"Lyon, MN","25,498","1.7%","$216,054","7.8%","50"
"Lyon, IA","12,087","8.0%","$237,731","17.3%","125"
"Saunders, NE","22,761","3.5%","$337,534","17.5%","38"
"Minnehaha, SD","206,930","2.2%","$326,668","14.8%","37"
"Yankton, SD","23,379","3.4%","$278,725","24.0%","38"
"Miner, SD","2,299","11.7%","$197,790","0.0%","261"
"Hanson, SD","3,473","-","-","0.0%","29"
"Wheeler, NE","785","6.6%","$255,262","0.0%","159"
"Lancaster, NE","326,716","2.7%","$293,748","10.7%","37"
"Burke, ND","2,163","-6.0%","$128,847","0.0%","108"
"Hughes, SD","17,732","5.5%","$284,938","15.6%","71"
"Walworth, SD","5,298","6.0%","$129,102","34.7%","49"
"Meade, SD","30,297","1.5%","$381,929","20.8%","43"
"Garden, NE","1,620","9.7%","$180,525","0.0%","43"
"Williams, ND","39,368","6.8%","$337,917","21.3%","37"
"Divide, ND","2,174","-","-","0.0%","89"
"McCone, MT","1,818","8.9%","$221,055","0.0%","71"
"Fergus, MT","11,581","10.5%","$278,707","22.6%","85"
"Sweet Grass, MT","3,713","9.1%","$438,476","27.5%","60"
"Cascade, MT","84,900","6.9%","$331,002","19.5%","31"
"Sublette, WY","8,806","2.9%","$448,009","13.6%","72"
"Cache, UT","142,393","0.7%","$467,392","31.8%","49"
"Summit, UT","42,709","1.5%","$1,320,421","13.3%","73"
"Vilas, WI","23,410","3.2%","$394,563","22.0%","39"
"Ashland, WI","16,050","-0.9%","$191,572","23.1%","50"
"Juneau, WI","26,695","7.3%","$253,511","23.5%","40"
"Clinton, IA","46,383","2.0%","$169,705","22.7%","56"
"Eau Claire, WI","107,903","2.7%","$320,165","18.0%","44"
"Barron, WI","46,741","6.5%","$282,127","18.1%","57"
"Sherburne, MN","102,206","1.3%","$380,170","18.4%","34"
"Louisa, IA","10,710","6.0%","$166,849","37.5%","43"
"Winneshiek, IA","19,972","6.7%","$302,514","14.0%","30"
"Mahaska, IA","22,045","4.5%","$182,991","23.8%","43"
"Wright, MN","151,150","2.2%","$389,365","21.5%","34"
"Wright, IA","12,817","7.6%","$133,708","12.5%","64"
"Boone, NE","5,366","7.5%","$280,768","13.7%","73"
"Boone, IA","26,669","5.5%","$221,887","26.8%","43"
"Dallas, IA","111,092","1.0%","$359,048","28.1%","65"
"Wapello, IA","35,265","0.9%","$123,881","16.0%","73"
"Union, SD","16,916","2.4%","$347,970","25.0%","48"
"Union, IA","12,038","10.4%","$149,293","20.5%","80"
"Montgomery, IA","10,254","2.7%","$136,089","19.5%","84"
"Mahnomen, MN","5,371","4.5%","$170,966","30.7%","57"
"Kittson, MN","4,163","6.4%","$149,632","0.0%","44"
"Faulk, SD","2,137","-","-","0.0%","23"
"Murray, MN","8,119","5.1%","$234,805","9.7%","26"
"Woodbury, IA","105,951","2.9%","$199,057","27.5%","40"
"Plymouth, IA","25,699","6.2%","$276,776","35.0%","49"
"Rock, NE","1,335","4.0%","$135,775","0.0%","13"
"Rock, MN","9,628","5.8%","$257,900","15.6%","46"
"Pipestone, MN","9,352","5.3%","$185,792","10.8%","40"
"Dodge, MN","20,962","3.0%","$321,487","28.5%","25"
"Dodge, NE","37,146","2.7%","$234,527","12.8%","42"
"Davison, SD","19,936","3.1%","$246,308","16.9%","50"
"Greeley, NE","2,211","6.8%","$200,512","0.0%","27"
"Burleigh, ND","100,012","4.2%","$353,146","13.0%","42"
"Billings, ND","948","-","-","0.0%","195"
"Lyman, SD","3,717","-","-","0.0%","73"
"Thomas, NE","626","2.4%","$176,959","0.0%","4"
"Arthur, NE","540","-","-","0.0%","351"
"Perkins, SD","3,058","6.4%","$157,261","0.0%","94"
"Perkins, NE","2,835","3.5%","$206,499","0.0%","123"
"Valley, NE","4,094","6.2%","$174,885","20.0%","69"
"Valley, MT","7,540","4.2%","$171,781","16.6%","52"
"Prairie, MT","1,251","-3.9%","$117,472","0.0%","108"
"Powder River, MT","1,762","10.3%","$249,322","0.0%","3"
"Rosebud, MT","8,236","3.5%","$216,653","0.0%","25"
"Fall River, SD","7,179","4.3%","$290,754","29.8%","54"
"Campbell, SD","1,481","2.7%","$202,629","0.0%","93"
"Campbell, WY","47,018","10.7%","$360,822","15.3%","38"
"Larimer, CO","370,771","0.1%","$566,584","30.9%","39"
"Musselshell, MT","5,068","4.5%","$211,240","22.8%","61"
"Park, WY","30,109","6.2%","$468,121","22.3%","54"
"Park, MT","17,484","5.5%","$574,393","24.8%","50"
"Washakie, WY","7,708","5.5%","$253,941","30.7%","95"
"Fremont, ID","13,701","3.0%","$452,889","22.0%","48"
"Fremont, WY","39,472","3.9%","$314,163","9.9%","59"
"Uinta, WY","20,605","4.9%","$321,470","36.9%","49"
"Bear Lake, ID","6,552","1.2%","$394,309","15.3%","72"
"Marathon, WI","138,612","7.1%","$262,402","10.4%","37"
"Iron, WI","6,164","2.2%","$199,898","0.0%","35"
"Dubuque, IA","98,887","5.1%","$264,421","42.1%","46"
"Lake of the Woods, MN","3,800","9.5%","$225,915","8.6%","77"
"Burnett, WI","16,741","4.3%","$296,914","17.5%","39"
"Carlton, MN","36,457","3.5%","$295,865","21.7%","31"
"Aitkin, MN","15,930","5.7%","$262,065","23.1%","45"
"Kanabec, MN","16,261","0.1%","$255,243","14.0%","31"
"Itasca, MN","45,141","5.9%","$238,743","21.8%","37"
"McLeod, MN","36,771","3.7%","$292,847","16.9%","31"
"Wadena, MN","14,135","3.7%","$223,451","16.6%","48"
"Kandiyohi, MN","43,757","4.3%","$275,997","19.1%","37"
"Chickasaw, IA","11,868","7.0%","$205,853","10.5%","59"
"Grundy, IA","12,352","5.9%","$213,362","20.0%","52"
"Kossuth, IA","14,610","5.2%","$168,072","16.0%","63"
"Calhoun, IA","9,858","1.6%","$135,317","21.0%","43"
"Sac, IA","9,759","4.3%","$156,659","0.0%","71"
"Dickinson, IA","17,844","2.2%","$366,411","14.0%","64"
"Roseau, MN","15,301","-0.1%","$224,419","11.1%","78"
"Grand Forks, ND","72,708","4.9%","$271,993","11.3%","31"
"Pembina, ND","6,787","2.8%","$132,394","0.0%","65"
"Ramsey, MN","536,075","1.2%","$334,825","19.3%","30"
"Ramsey, ND","11,563","4.2%","$228,201","13.3%","46"
"Yellow Medicine, MN","9,509","3.1%","$163,503","12.5%","53"
"Wilkin, MN","6,413","3.7%","$211,074","14.8%","60"
"Brookings, SD","34,968","5.0%","$307,305","2.4%","42"
"Barnes, ND","10,794","5.6%","$191,759","13.3%","66"
"Dickey, ND","4,959","5.6%","$164,991","0.0%","55"
"Edmunds, SD","4,033","5.2%","$226,645","36.3%","72"
"Hyde, SD","1,305","-","-","0.0%","143"
"Crawford, WI","16,064","6.6%","$226,958","15.3%","47"
"Crawford, IA","16,289","5.1%","$177,444","12.1%","66"
"Dakota, MN","447,440","1.7%","$399,161","20.3%","31"
"Dakota, NE","21,331","3.9%","$227,791","14.8%","43"
"Bon Homme, SD","7,024","-4.0%","$181,346","23.5%","30"
"Holt, NE","10,093","2.1%","$160,193","0.0%","50"
"Gregory, SD","3,993","-","-","0.0%","74"
"Brule, SD","5,261","4.9%","$220,195","0.0%","54"
"Cass, IA","13,115","5.3%","$149,520","21.6%","50"
"Cass, MN","30,688","6.7%","$327,736","21.8%","39"
"Cass, ND","196,362","3.9%","$329,870","19.5%","44"
"Cass, NE","26,963","2.7%","$296,992","13.1%","31"
"McLean, ND","9,807","6.8%","$204,267","8.5%","46"
"Renville, MN","14,587","1.4%","$188,871","41.6%","48"
"Renville, ND","2,277","5.0%","$188,035","0.0%","25"
"Mountrail, ND","9,567","7.5%","$244,326","19.0%","73"
"Logan, NE","812","1.0%","$179,379","0.0%","148"
"Logan, CO","21,067","3.3%","$251,910","24.7%","54"
"Logan, ND","1,848","-","-","0.0%","21"
"Emmons, ND","3,269","12.6%","$136,873","0.0%","21"
"Corson, SD","3,859","2.3%","$133,611","0.0%","6"
"Oliver, ND","1,821","8.7%","$236,790","44.4%","37"
"Hettinger, ND","2,453","14.3%","$113,926","0.0%","56"
"Deuel, SD","4,318","0.0%","$292,951","0.0%","32"
"Deuel, NE","1,865","5.2%","$157,372","0.0%","51"
"Oglala Lakota, SD","13,587","-","-","0.0%","14"
"Box Butte, NE","10,754","4.2%","$168,762","20.5%","46"
"Dawes, NE","8,212","3.8%","$180,245","0.0%","98"
"McKenzie, ND","14,280","7.6%","$358,386","11.7%","108"
"Daniels, MT","1,524","-0.3%","$159,358","33.3%","132"
"Harding, SD","1,092","10.1%","$207,193","0.0%","193"
"Wibaux, MT","1,148","7.0%","$202,540","0.0%","177"
"Banner, NE","657","14.5%","$371,998","0.0%","46"
"Weston, WY","6,835","4.8%","$244,731","0.0%","81"
"Platte, NE","34,358","4.6%","$272,652","28.2%","50"
"Platte, WY","8,606","6.9%","$280,306","22.8%","52"
"Madison, IA","16,760","4.9%","$329,555","17.2%","38"
"Madison, NE","35,535","4.6%","$247,893","23.0%","47"
"Madison, ID","53,578","2.3%","$410,435","25.3%","47"
"Lafayette, WI","16,788","5.1%","$235,002","11.1%","42"
"Rock Island, IL","141,236","1.1%","$154,562","14.6%","40"
"Grant, MN","6,108","4.1%","$220,222","44.4%","35"
"Grant, SD","7,544","6.8%","$232,007","0.0%","58"
"Grant, ND","2,276","-","-","0.0%","130"
"Grant, NE","695","-","-","0.0%","249"
"Grant, WI","51,678","2.7%","$216,879","15.6%","57"
"St. Louis, MN","200,514","2.4%","$236,388","18.5%","39"
"Chisago, MN","57,434","1.6%","$380,547","17.4%","37"
"Todd, SD","9,293","-","-","0.0%","68"
"Todd, MN","25,402","1.9%","$259,430","31.6%","36"
"Muscatine, IA","42,735","2.0%","$188,206","26.6%","53"
"La Crosse, WI","120,486","2.8%","$320,098","15.6%","32"
"Iowa, WI","23,832","3.6%","$335,520","10.8%","48"
"Iowa, IA","16,547","6.8%","$222,204","23.0%","30"
"Olmsted, MN","164,784","2.3%","$343,070","15.8%","50"
"Mitchell, IA","10,548","6.8%","$201,925","10.5%","65"
"Marshall, MN","8,961","3.5%","$203,088","15.3%","35"
"Marshall, SD","4,355","9.0%","$236,128","0.0%","113"
"Marshall, IA","39,971","2.3%","$183,743","17.1%","47"
"Hardin, IA","16,729","-1.4%","$134,854","15.2%","66"
"Des Moines, IA","38,597","1.5%","$140,129","18.0%","47"
